User ID,Session ID,Event Time,Event,Device,Region,Channel,Product Category,Revenue,Bonus Flag
USR-00001,SES-00001,2026-01-07 23:46:20.358501,Browse,Tablet,South,Organic,Electronics,0.0,Yes
USR-00001,SES-00001,2026-01-07 23:49:20.358501,Add to Cart,Tablet,South,Organic,Electronics,0.0,Yes
USR-00001,SES-00001,2026-01-07 23:51:20.358501,Checkout,Tablet,South,Organic,Electronics,0.0,Yes
USR-00002,SES-00002,2026-01-04 21:06:42.296010,Browse,Desktop,East,Email,Sports,0.0,Yes
USR-00002,SES-00002,2026-01-04 21:10:42.296010,Add to Cart,Desktop,East,Email,Sports,0.0,Yes
USR-00003,SES-00003,2025-12-19 20:49:00.895328,Browse,Tablet,South,Email,Fashion,0.0,Yes
USR-00004,SES-00004,2026-01-08 07:58:00.840696,Browse,Tablet,East,Organic,Sports,0.0,Yes
USR-00004,SES-00004,2026-01-08 08:00:00.840696,Add to Cart,Tablet,East,Organic,Sports,0.0,Yes
USR-00004,SES-00004,2026-01-08 08:02:00.840696,Checkout,Tablet,East,Organic,Sports,0.0,Yes
USR-00005,SES-00005,2025-12-21 20:56:31.701462,Browse,Desktop,South,Google Ads,Beauty,0.0,Yes
USR-00005,SES-00005,2025-12-21 20:58:31.701462,Add to Cart,Desktop,South,Google Ads,Beauty,0.0,Yes
USR-00005,SES-00005,2025-12-21 21:01:31.701462,Checkout,Desktop,South,Google Ads,Beauty,0.0,Yes
USR-00005,SES-00005,2025-12-21 21:04:31.701462,Purchase,Desktop,South,Google Ads,Beauty,427.16,No
USR-00006,SES-00006,2026-01-07 07:00:28.795023,Browse,Desktop,East,Email,Electronics,0.0,Yes
USR-00006,SES-00006,2026-01-07 07:03:28.795023,Add to Cart,Desktop,East,Email,Electronics,0.0,Yes
USR-00007,SES-00007,2026-01-01 01:56:15.168737,Browse,Desktop,West,Social Media,Fashion,0.0,Yes
USR-00007,SES-00007,2026-01-01 02:01:15.168737,Add to Cart,Desktop,West,Social Media,Fashion,0.0,Yes
USR-00007,SES-00007,2026-01-01 02:03:15.168737,Checkout,Desktop,West,Social Media,Fashion,0.0,Yes
USR-00008,SES-00008,2026-01-05 12:57:39.144740,Browse,Mobile,North,Social Media,Sports,0.0,Yes
USR-00009,SES-00009,2025-12-22 10:35:04.655928,Browse,Desktop,North,Organic,Fashion,0.0,Yes
USR-00009,SES-00009,2025-12-22 10:39:04.655928,Add to Cart,Desktop,North,Organic,Fashion,0.0,Yes
USR-00010,SES-00010,2025-12-16 08:09:25.273681,Browse,Mobile,East,Organic,Sports,0.0,Yes
USR-00011,SES-00011,2025-12-14 23:17:35.775816,Browse,Tablet,North,Google Ads,Home,0.0,Yes
USR-00011,SES-00011,2025-12-14 23:20:35.775816,Add to Cart,Tablet,North,Google Ads,Home,0.0,Yes
USR-00012,SES-00012,2025-12-10 23:50:49.842629,Browse,Desktop,South,Social Media,Home,0.0,Yes
USR-00012,SES-00012,2025-12-10 23:53:49.842629,Add to Cart,Desktop,South,Social Media,Home,0.0,Yes
USR-00013,SES-00013,2025-12-22 03:11:19.343850,Browse,Mobile,South,Google Ads,Sports,0.0,Yes
USR-00013,SES-00013,2025-12-22 03:13:19.343850,Add to Cart,Mobile,South,Google Ads,Sports,0.0,Yes
USR-00014,SES-00014,2026-01-07 03:51:43.510350,Browse,Desktop,West,Email,Electronics,0.0,Yes
USR-00014,SES-00014,2026-01-07 03:55:43.510350,Add to Cart,Desktop,West,Email,Electronics,0.0,Yes
USR-00014,SES-00014,2026-01-07 03:59:43.510350,Checkout,Desktop,West,Email,Electronics,0.0,Yes
USR-00015,SES-00015,2026-01-06 08:08:01.517690,Browse,Tablet,East,Social Media,Fashion,0.0,Yes
USR-00015,SES-00015,2026-01-06 08:13:01.517690,Add to Cart,Tablet,East,Social Media,Fashion,0.0,Yes
USR-00015,SES-00015,2026-01-06 08:18:01.517690,Checkout,Tablet,East,Social Media,Fashion,0.0,Yes
USR-00016,SES-00016,2025-12-18 18:11:38.293064,Browse,Desktop,South,Social Media,Fashion,0.0,Yes
USR-00017,SES-00017,2026-01-05 14:13:19.909218,Browse,Desktop,West,Google Ads,Beauty,0.0,Yes
USR-00017,SES-00017,2026-01-05 14:15:19.909218,Add to Cart,Desktop,West,Google Ads,Beauty,0.0,Yes
USR-00017,SES-00017,2026-01-05 14:17:19.909218,Checkout,Desktop,West,Google Ads,Beauty,0.0,Yes
USR-00018,SES-00018,2025-12-14 02:38:25.160934,Browse,Tablet,South,Google Ads,Beauty,0.0,Yes
USR-00018,SES-00018,2025-12-14 02:43:25.160934,Add to Cart,Tablet,South,Google Ads,Beauty,0.0,Yes
USR-00019,SES-00019,2025-12-27 12:25:16.842494,Browse,Tablet,South,Google Ads,Home,0.0,Yes
USR-00020,SES-00020,2025-12-12 09:10:14.602429,Browse,Desktop,South,Email,Home,0.0,Yes
USR-00021,SES-00021,2025-12-28 16:54:37.700402,Browse,Desktop,East,Email,Fashion,0.0,Yes
USR-00021,SES-00021,2025-12-28 16:57:37.700402,Add to Cart,Desktop,East,Email,Fashion,0.0,Yes
USR-00021,SES-00021,2025-12-28 17:02:37.700402,Checkout,Desktop,East,Email,Fashion,0.0,Yes
USR-00022,SES-00022,2026-01-08 05:59:46.606006,Browse,Mobile,North,Organic,Beauty,0.0,Yes
USR-00022,SES-00022,2026-01-08 06:03:46.606006,Add to Cart,Mobile,North,Organic,Beauty,0.0,Yes
USR-00023,SES-00023,2025-12-14 05:00:09.788756,Browse,Desktop,West,Organic,Sports,0.0,Yes
USR-00024,SES-00024,2026-01-01 09:16:10.004204,Browse,Desktop,East,Email,Electronics,0.0,Yes
USR-00025,SES-00025,2025-12-24 17:00:23.081618,Browse,Desktop,West,Organic,Electronics,0.0,Yes
USR-00025,SES-00025,2025-12-24 17:04:23.081618,Add to Cart,Desktop,West,Organic,Electronics,0.0,Yes
USR-00026,SES-00026,2025-12-11 00:49:12.643137,Browse,Mobile,East,Google Ads,Beauty,0.0,Yes
USR-00026,SES-00026,2025-12-11 00:53:12.643137,Add to Cart,Mobile,East,Google Ads,Beauty,0.0,Yes
USR-00026,SES-00026,2025-12-11 00:56:12.643137,Checkout,Mobile,East,Google Ads,Beauty,0.0,Yes
USR-00027,SES-00027,2025-12-26 23:02:47.518384,Browse,Mobile,North,Google Ads,Home,0.0,Yes
USR-00027,SES-00027,2025-12-26 23:07:47.518384,Add to Cart,Mobile,North,Google Ads,Home,0.0,Yes
USR-00027,SES-00027,2025-12-26 23:10:47.518384,Checkout,Mobile,North,Google Ads,Home,0.0,Yes
USR-00027,SES-00027,2025-12-26 23:14:47.518384,Purchase,Mobile,North,Google Ads,Home,201.08,No
USR-00028,SES-00028,2026-01-07 16:41:23.530170,Browse,Mobile,South,Social Media,Beauty,0.0,Yes
USR-00028,SES-00028,2026-01-07 16:43:23.530170,Add to Cart,Mobile,South,Social Media,Beauty,0.0,Yes
